"Kod";Nazwa;ludność w tysiącach;
0604032;"Horodło (2)";4,77;
0604042;"Hrubieszów (2)";9,15;
0604052;"Mircze (2)";6,18;
0604062;"Trzeszczany (2)";3,72;
0604072;"Uchanie (2)";4,04;
0604082;"Werbkowice (2)";8,36;
0605000;"Powiat janowski";42,80;
0605012;"Batorz (2)";3,06;
0605022;"Chrzanów (2)";2,68;
0605032;"Dzwola (2)";5,89;
0605042;"Godziszów (2)";5,44;
0605053;"Janów Lubelski (3)";14,58;
0605054;"Janów Lubelski - miasto (4)";10,89;
0605055;"Janów Lubelski - obszar wiejski (5)";3,68;
0605063;"Modliborzyce (3)";6,70;
0605064;"Modliborzyce - miasto (4)";1,42;
0605065;"Modliborzyce - obszar wiejski (5)";5,28;
0605072;"Potok Wielki (2)";4,46;
0606000;"Powiat krasnostawski";59,04;
0606011;"Krasnystaw (1)";17,37;
0606022;"Fajsławice (2)";4,44;
0606032;"Gorzków (2)";3,20;
0606043;"Izbica (3)";7,67;
0606044;"Izbica - miasto (4)";1,68;
0606045;"Izbica - obszar wiejski (5)";5,99;
0606052;"Krasnystaw (2)";8,10;
0606062;"Kraśniczyn (2)";3,43;
0606072;"Łopiennik Górny (2)";3,59;
0606092;"Rudnik (2)";2,70;
0606102;"Siennica Różana (2)";3,75;
0606112;"Żółkiewka (2)";4,80;
0607000;"Powiat kraśnicki";89,22;
0607011;"Kraśnik (1)";31,30;
0607023;"Annopol (3)";7,97;
0607024;"Annopol - miasto (4)";2,30;
0607025;"Annopol - obszar wiejski (5)";5,67;
0607032;"Dzierzkowice (2)";5,23;
0607042;"Gościeradów (2)";6,80;
0607052;"Kraśnik (2)";7,01;
0607062;"Szastarka (2)";5,42;
0607072;"Trzydnik Duży (2)";5,92;
0607083;"Urzędów (3)";8,17;
0607084;"Urzędów - miasto (4)";1,71;
0607085;"Urzędów - obszar wiejski (5)";6,46;
0607092;"Wilkołaz (2)";5,32;
0607102;"Zakrzówek (2)";6,10;
0608000;"Powiat lubartowski";83,98;
0608011;"Lubartów (1)";19,73;
0608022;"Abramów (2)";3,83;
0608032;"Firlej (2)";5,64;
0608042;"Jeziorzany (2)";2,46;
0608053;"Kamionka (3)";6,49;
0608054;"Kamionka - miasto (4)";1,71;
0608055;"Kamionka - obszar wiejski (5)";4,77;
0608063;"Kock (3)";5,68;
0608064;"Kock - miasto (4)";2,87;
0608065;"Kock - obszar wiejski (5)";2,81;
0608072;"Lubartów (2)";12,14;
0608082;"Michów (2)";5,44;
0608092;"Niedźwiada (2)";6,19;
0608103;"Ostrów Lubelski (3)";4,94;
0608104;"Ostrów Lubelski - miasto (4)";1,96;
0608105;"Ostrów Lubelski - obszar wiejski (5)";2,98;
0608112;"Ostrówek (2)";3,69;
0608122;"Serniki (2)";4,79;
0608132;"Uścimów (2)";2,96;
0609000;"Powiat lubelski";164,47;
0609013;"Bełżyce (3)";12,70;
0609014;"Bełżyce - miasto (4)";5,94;
0609015;"Bełżyce - obszar wiejski (5)";6,76;
0609022;"Borzechów (2)";3,73;
0609033;"Bychawa (3)";10,86;
0609034;"Bychawa - miasto (4)";4,48;
0609035;"Bychawa - obszar wiejski (5)";6,39;
0609042;"Garbów (2)";8,96;
0609052;"Głusk (2)";14,88;
0609062;"Jabłonna (2)";8,32;
0609072;"Jastków (2)";15,52;
0609082;"Konopnica (2)";15,97;
0609092;"Krzczonów (2)";4,07;
0609102;"Niedrzwica Duża (2)";12,04;
0609112;"Niemce (2)";22,04;
0609122;"Strzyżewice (2)";8,16;
0609132;"Wojciechów (2)";6,02;
0609142;"Wólka (2)";14,46;
0609152;"Wysokie (2)";4,08;
0609162;"Zakrzew (2)";2,65;
0610000;"Powiat łęczyński";55,72;
0610012;"Cyców (2)";7,69;
0610022;"Ludwin (2)";5,61;
0610033;"Łęczna (3)";22,37;
0610034;"Łęczna - miasto (4)";17,67;
0610035;"Łęczna - obszar wiejski (5)";4,70;
0610042;"Milejów (2)";8,58;
0610052;"Puchaczów (2)";5,53;
0610062;"Spiczyn (2)";5,94;
0611000;"Powiat łukowski";100,96;
0611011;"Łuków (1)";27,16;
0611021;"Stoczek Łukowski (1)";2,36;
0611032;"Adamów (2)";5,12;
0611042;"Krzywda (2)";9,77;
0611052;"Łuków (2)";18,55;
0611062;"Serokomla (2)";3,68;
0611072;"Stanin (2)";9,20;
0611082;"Stoczek Łukowski (2)";7,20;
0611092;"Trzebieszów (2)";7,08;
0611102;"Wojcieszków (2)";6,48;
0611112;"Wola Mysłowska (2)";4,36;
0612000;"Powiat opolski";55,65;
0612012;"Chodel (2)";6,29;
0612023;"Józefów nad Wisłą (3)";6,02;
0612024;"Józefów nad Wisłą - miasto (4)";0,80;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5,22;
0612032;"Karczmiska (2)";5,32;
0612042;"Łaziska (2)";4,55;
0612053;"Opole Lubelskie (3)";16,19;
0612054;"Opole Lubelskie - miasto (4)";7,86;
0612055;"Opole Lubelskie - obszar wiejski (5)";8,33;
0612063;"Poniatowa (3)";13,13;
0612064;"Poniatowa - miasto (4)";8,25;
0612065;"Poniatowa - obszar wiejski (5)";4,89;
0612072;"Wilków (2)";4,15;
0613000;"Powiat parczewski";32,22;
0613012;"Dębowa Kłoda (2)";3,58;
0613022;"Jabłoń (2)";3,52;
0613032;"Milanów (2)";3,37;
0613043;"Parczew (3)";13,70;
0613044;"Parczew - miasto (4)";10,19;
0613045;"Parczew - obszar wiejski (5)";3,52;
0613052;"Podedwórze (2)";1,50;
0613062;"Siemień (2)";4,28;
0613072;"Sosnowica (2)";2,27;
0614000;"Powiat puławski";107,02;
0614011;"Puławy (1)";43,86;
0614022;"Baranów (2)";3,56;
0614032;"Janowiec (2)";3,56;
0614043;"Kazimierz Dolny (3)";6,29;
0614044;"Kazimierz Dolny - miasto (4)";3,24;
0614045;"Kazimierz Dolny - obszar wiejski (5)";3,05;
0614052;"Końskowola (2)";8,38;
0614062;"Kurów (2)";7,38;
0614072;"Markuszów (2)";2,88;
0614083;"Nałęczów (3)";8,60;
0614084;"Nałęczów - miasto (4)";3,61;
0614085;"Nałęczów - obszar wiejski (5)";4,99;
0614092;"Puławy (2)";12,22;
0614102;"Wąwolnica (2)";4,21;
0614112;"Żyrzyn (2)";6,09;
0615000;"Powiat radzyński";55,02;
0615011;"Radzyń Podlaski (1)";14,29;
0615022;"Borki (2)";5,73;
0615032;"Czemierniki (2)";4,03;
0615042;"Kąkolewnica (2)";7,55;
0615052;"Komarówka Podlaska (2)";3,81;
0615062;"Radzyń Podlaski (2)";7,90;
0615072;"Ulan-Majorat (2)";5,52;
0615082;"Wohyń (2)";6,18;
0616000;"Powiat rycki";51,56;
0616011;"Dęblin (1)";14,13;
0616022;"Kłoczew (2)";6,82;
0616032;"Nowodwór (2)";3,89;
0616043;"Ryki (3)";19,14;
0616044;"Ryki - miasto (4)";8,99;
0616045;"Ryki - obszar wiejski (5)";10,15;
0616052;"Stężyca (2)";4,76;
0616062;"Ułęż (2)";2,82;
0617000;"Powiat świdnicki";69,27;
0617011;"Świdnik (1)";36,68;
0617022;"Mełgiew (2)";10,79;
0617033;"Piaski (3)";10,20;
0617034;"Piaski - miasto (4)";2,42;
0617035;"Piaski - obszar wiejski (5)";7,79;
0617042;"Rybczewice (2)";3,18;
0617052;"Trawniki (2)";8,43;
0618000;"Powiat tomaszowski";77,02;
0618011;"Tomaszów Lubelski (1)";17,85;
0618022;"Bełżec (2)";3,09;
0618032;"Jarczów (2)";3,14;
0618042;"Krynice (2)";2,97;
0618053;"Lubycza Królewska (3)";5,55;
0618054;"Lubycza Królewska - miasto (4)";2,14;
0618055;"Lubycza Królewska - obszar wiejski (5)";3,41;
0618063;"Łaszczów (3)";5,47;
0618064;"Łaszczów - miasto (4)";1,96;
0618065;"Łaszczów - obszar wiejski (5)";3,50;
0618072;"Rachanie (2)";4,60;
0618082;"Susiec (2)";6,93;
0618092;"Tarnawatka (2)";3,76;
0618102;"Telatyn (2)";3,50;
0618112;"Tomaszów Lubelski (2)";11,11;
0618123;"Tyszowce (3)";5,09;
0618124;"Tyszowce - miasto (4)";1,82;
0618125;"Tyszowce - obszar wiejski (5)";3,27;
0618132;"Ulhówek (2)";3,95;
0619000;"Powiat włodawski";35,40;
0619011;"Włodawa (1)";12,12;
0619022;"Hanna (2)";2,48;
0619032;"Hańsk (2)";3,38;
0619042;"Stary Brus (2)";1,81;
0619052;"Urszulin (2)";4,07;
0619062;"Włodawa (2)";5,72;
0619072;"Wola Uhruska (2)";3,59;
0619082;"Wyryki (2)";2,22;
0620000;"Powiat zamojski";100,75;
0620012;"Adamów (2)";4,41;
0620022;"Grabowiec (2)";3,55;
0620032;"Komarów-Osada (2)";4,42;
0620043;"Krasnobród (3)";6,69;
0620044;"Krasnobród - miasto (4)";2,97;
0620045;"Krasnobród - obszar wiejski (5)";3,72;
0620052;"Łabunie (2)";5,88;
0620062;"Miączyn (2)";5,01;
0620072;"Nielisz (2)";5,07;
0620082;"Radecznica (2)";5,07;
0620092;"Sitno (2)";6,53;
0620102;"Skierbieszów (2)";4,72;
0620112;"Stary Zamość (2)";4,80;
0620122;"Sułów (2)";4,04;
0620133;"Szczebrzeszyn (3)";10,53;
0620134;"Szczebrzeszyn - miasto (4)";4,74;
0620135;"Szczebrzeszyn - obszar wiejski (5)";5,78;
0620142;"Zamość (2)";23,95;
0620153;"Zwierzyniec (3)";6,09;
0620154;"Zwierzyniec - miasto (4)";2,78;
0620155;"Zwierzyniec - obszar wiejski (5)";3,31;
0661000;"Powiat m. Biała Podlaska";54,45;
0661011;"Biała Podlaska (1)";54,45;
0662000;"Powiat m. Chełm";57,21;
0662011;"Chełm (1)";57,21;
0663000;"Powiat m. Lublin";329,57;
0663011;"Lublin (1)";329,57;
0664000;"Powiat m. Zamość";58,23;
0664011;"Zamość (1)";58,23;
0800000;"LUBUSKIE";975,02;
0801000;"Powiat gorzowski";73,90;
0801011;"Kostrzyn nad Odrą (1)";17,59;
0801022;"Bogdaniec (2)";7,18;
0801032;"Deszczno (2)";10,92;
0801042;"Kłodawa (2)";9,34;
0801052;"Lubiszyn (2)";7,16;
0801062;"Santok (2)";9,57;
0801073;"Witnica (3)";12,15;
0801074;"Witnica - miasto (4)";6,43;
0801075;"Witnica - obszar wiejski (5)";5,71;
0802000;"Powiat krośnieński";52,72;
0802011;"Gubin (1)";15,61;
0802022;"Bobrowice (2)";3,03;
0802032;"Bytnica (2)";2,29;
0802042;"Dąbie (2)";4,92;
0802052;"Gubin (2)";7,21;
0802063;"Krosno Odrzańskie (3)";16,94;
0802064;"Krosno Odrzańskie - miasto (4)";10,53;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6,41;
0802072;"Maszewo (2)";2,72;
0803000;"Powiat międzyrzecki";54,84;
0803012;"Bledzew (2)";3,89;
0803023;"Międzyrzecz (3)";23,70;
0803024;"Międzyrzecz - miasto (4)";16,83;
0803025;"Międzyrzecz - obszar wiejski (5)";6,87;
0803032;"Przytoczna (2)";5,33;
0803042;"Pszczew (2)";4,17;
0803053;"Skwierzyna (3)";11,51;
0803054;"Skwierzyna - miasto (4)";9,08;
0803055;"Skwierzyna - obszar wiejski (5)";2,44;
0803063;"Trzciel (3)";6,23;
0803064;"Trzciel - miasto (4)";2,22;
0803065;"Trzciel - obszar wiejski (5)";4,01;
0804000;"Powiat nowosolski";82,28;
0804011;"Nowa Sól (1)";36,04;
0804023;"Bytom Odrzański (3)";5,09;
0804024;"Bytom Odrzański - miasto (4)";3,91;
0804025;"Bytom Odrzański - obszar wiejski (5)";1,18;
0804032;"Kolsko (2)";3,21;
0804043;"Kożuchów (3)";15,22;
0804044;"Kożuchów - miasto (4)";8,89;
0804045;"Kożuchów - obszar wiejski (5)";6,33;
0804052;"Nowa Sól (2)";7,33;
0804063;"Nowe Miasteczko (3)";5,03;
0804064;"Nowe Miasteczko - miasto (4)";2,64;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2,39;
0804073;"Otyń (3)";7,05;
0804074;"Otyń - miasto (4)";1,76;
0804075;"Otyń - obszar wiejski (5)";5,29;
0804082;"Siedlisko (2)";3,32;
0805000;"Powiat słubicki";45,85;
0805013;"Cybinka (3)";6,15;
0805014;"Cybinka - miasto (4)";2,66;
0805015;"Cybinka - obszar wiejski (5)";3,49;
0805022;"Górzyca (2)";4,06;
0805033;"Ośno Lubuskie (3)";6,17;
0805034;"Ośno Lubuskie - miasto (4)";3,89;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2,28;
0805043;"Rzepin (3)";9,44;
0805044;"Rzepin - miasto (4)";6,40;
0805045;"Rzepin - obszar wiejski (5)";3,03;
0805053;"Słubice (3)";20,04;
0805054;"Słubice - miasto (4)";16,26;
0805055;"Słubice - obszar wiejski (5)";3,78;
0806000;"Powiat strzelecko-drezdenecki";46,66;
0806013;"Dobiegniew (3)";6,16;
0806014;"Dobiegniew - miasto (4)";2,99;
0806015;"Dobiegniew - obszar wiejski (5)";3,17;
0806023;"Drezdenko (3)";16,32;
0806024;"Drezdenko - miasto (4)";9,46;
0806025;"Drezdenko - obszar wiejski (5)";6,86;
0806032;"Stare Kurowo (2)";3,92;
0806043;"Strzelce Krajeńskie (3)";16,13;
0806044;"Strzelce Krajeńskie - miasto (4)";9,71;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";6,42;
0806052;"Zwierzyn (2)";4,13;
0807000;"Powiat sulęciński";33,50;
0807012;"Krzeszyce (2)";4,58;
0807023;"Lubniewice (3)";3,04;
0807024;"Lubniewice - miasto (4)";2,00;
0807025;"Lubniewice - obszar wiejski (5)";1,04;
0807032;"Słońsk (2)";4,61;
0807043;"Sulęcin (3)";15,03;
0807044;"Sulęcin - miasto (4)";9,74;
0807045;"Sulęcin - obszar wiejski (5)";5,29;
0807053;"Torzym (3)";6,23;
0807054;"Torzym - miasto (4)";2,39;
0807055;"Torzym - obszar wiejski (5)";3,84;
0808000;"Powiat świebodziński";53,96;
0808012;"Lubrza (2)";3,58;
0808022;"Łagów (2)";4,73;
0808032;"Skąpe (2)";5,01;
0808042;"Szczaniec (2)";3,65;
0808053;"Świebodzin (3)";28,91;
0808054;"Świebodzin - miasto (4)";20,78;
0808055;"Świebodzin - obszar wiejski (5)";8,13;
0808063;"Zbąszynek (3)";8,08;
0808064;"Zbąszynek - miasto (4)";4,90;
0808065;"Zbąszynek - obszar wiejski (5)";3,19;
0809000;"Powiat zielonogórski";75,08;
0809013;"Babimost (3)";6,06;
0809014;"Babimost - miasto (4)";3,82;
0809015;"Babimost - obszar wiejski (5)";2,24;
0809022;"Bojadła (2)";3,17;
0809033;"Czerwieńsk (3)";10,13;
0809034;"Czerwieńsk - miasto (4)";3,78;
0809035;"Czerwieńsk - obszar wiejski (5)";6,36;
0809043;"Kargowa (3)";5,92;
0809044;"Kargowa - miasto (4)";3,83;
0809045;"Kargowa - obszar wiejski (5)";2,10;
0809053;"Nowogród Bobrzański (3)";9,00;
0809054;"Nowogród Bobrzański - miasto (4)";4,77;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4,23;
0809063;"Sulechów (3)";25,98;
0809064;"Sulechów - miasto (4)";15,47;
0809065;"Sulechów - obszar wiejski (5)";10,52;
0809072;"Świdnica (2)";6,92;
0809082;"Trzebiechów (2)";3,16;
0809092;"Zabór (2)";4,74;
0810000;"Powiat żagański";73,60;
0810011;"Gozdnica (1)";2,73;
0810021;"Żagań (1)";23,46;
0810032;"Brzeźnica (2)";3,46;
0810043;"Iłowa (3)";6,35;
0810044;"Iłowa - miasto (4)";3,59;
0810045;"Iłowa - obszar wiejski (5)";2,76;
0810053;"Małomice (3)";5,14;
0810054;"Małomice - miasto (4)";3,42;
0810055;"Małomice - obszar wiejski (5)";1,72;
0810062;"Niegosławice (2)";4,25;
0810073;"Szprotawa (3)";18,97;
0810074;"Szprotawa - miasto (4)";10,55;
0810075;"Szprotawa - obszar wiejski (5)";8,42;
0810082;"Wymiarki (2)";2,08;
0810092;"Żagań (2)";7,16;
0811000;"Powiat żarski";91,21;
0811011;"Łęknica (1)";2,24;
0811021;"Żary (1)";34,84;
0811032;"Brody (2)";3,13;
0811043;"Jasień (3)";6,70;
0811044;"Jasień - miasto (4)";4,04;
0811045;"Jasień - obszar wiejski (5)";2,66;
0811052;"Lipinki Łużyckie (2)";3,24;
0811063;"Lubsko (3)";17,24;
0811064;"Lubsko - miasto (4)";12,86;
0811065;"Lubsko - obszar wiejski (5)";4,39;
0811072;"Przewóz (2)";3,00;
0811082;"Trzebiel (2)";5,46;
0811092;"Tuplice (2)";2,89;
0811102;"Żary (2)";12,48;
0812000;"Powiat wschowski";37,25;
0812013;"Sława (3)";12,42;
0812014;"Sława - miasto (4)";4,10;
0812015;"Sława - obszar wiejski (5)";8,32;
0812023;"Szlichtyngowa (3)";4,82;
0812024;"Szlichtyngowa - miasto (4)";1,26;
0812025;"Szlichtyngowa - obszar wiejski (5)";3,56;
0812033;"Wschowa (3)";20,01;
0812034;"Wschowa - miasto (4)";12,99;
0812035;"Wschowa - obszar wiejski (5)";7,02;
0861000;"Powiat m. Gorzów Wielkopolski";115,25;
0861011;"Gorzów Wielkopolski (1)";115,25;
0862000;"Powiat m. Zielona Góra";138,93;
0862011;"Zielona Góra (1)";138,93;
1000000;"ŁÓDZKIE";2362,52;
1001000;"Powiat bełchatowski";108,60;
1001011;"Bełchatów (1)";52,33;
1001022;"Bełchatów (2)";13,11;
1001032;"Drużbice (2)";5,28;
1001042;"Kleszczów (2)";6,29;
1001052;"Kluki (2)";4,32;
1001062;"Rusiec (2)";4,77;
1001072;"Szczerców (2)";8,16;
1001083;"Zelów (3)";14,35;
1001084;"Zelów - miasto (4)";7,06;
1001085;"Zelów - obszar wiejski (5)";7,29;
1002000;"Powiat kutnowski";90,67;
1002011;"Kutno (1)";40,72;
1002022;"Bedlno (2)";5,08;
1002033;"Dąbrowice (3)";1,78;
1002034;"Dąbrowice - miasto (4)";0,95;
1002035;"Dąbrowice - obszar wiejski (5)";0,83;
1002043;"Krośniewice (3)";7,72;
1002044;"Krośniewice - miasto (4)";3,99;
1002045;"Krośniewice - obszar wiejski (5)";3,73;
1002052;"Krzyżanów (2)";4,01;
1002062;"Kutno (2)";8,97;
1002072;"Łanięta (2)";2,19;
1002082;"Nowe Ostrowy (2)";3,20;
1002092;"Oporów (2)";2,42;
1002102;"Strzelce (2)";3,72;
1002113;"Żychlin (3)";10,88;
1002114;"Żychlin - miasto (4)";7,49;
1002115;"Żychlin - obszar wiejski (5)";3,38;
1003000;"Powiat łaski";48,74;
1003012;"Buczek (2)";5,04;
1003023;"Łask (3)";26,90;
1003024;"Łask - miasto (4)";16,06;
1003025;"Łask - obszar wiejski (5)";10,84;
1003032;"Sędziejowice (2)";6,20;
1003042;"Widawa (2)";6,86;
1003052;"Wodzierady (2)";3,74;
1004000;"Powiat łęczycki";46,67;
1004011;"Łęczyca (1)";13,07;
1004022;"Daszyna (2)";3,63;
1004032;"Góra Świętej Małgorzaty (2)";4,25;
1004042;"Grabów (2)";5,30;
1004052;"Łęczyca (2)";8,18;
1004063;"Piątek (3)";5,58;
1004064;"Piątek - miasto (4)";1,55;
1004065;"Piątek - obszar wiejski (5)";4,03;
1004072;"Świnice Warckie (2)";3,64;
1004082;"Witonia (2)";3,02;
1005000;"Powiat łowicki";74,01;
1005011;"Łowicz (1)";25,97;
1005022;"Bielawy (2)";5,01;
1005032;"Chąśno (2)";2,89;
1005042;"Domaniewice (2)";4,52;
1005052;"Kiernozia (2)";3,07;
1005062;"Kocierzew Południowy (2)";3,98;
1005072;"Łowicz (2)";7,73;
1005082;"Łyszkowice (2)";6,42;
1005092;"Nieborów (2)";9,22;
1005102;"Zduny (2)";5,19;
1006000;"Powiat łódzki wschodni";74,71;
1006022;"Andrespol (2)";14,75;
1006032;"Brójce (2)";7,29;
1006073;"Koluszki (3)";22,80;
1006074;"Koluszki - miasto (4)";12,05;
1006075;"Koluszki - obszar wiejski (5)";10,75;
1006082;"Nowosolna (2)";5,71;
1006103;"Rzgów (3)";11,35;
1006104;"Rzgów - miasto (4)";3,46;
1006105;"Rzgów - obszar wiejski (5)";7,89;
1006113;"Tuszyn (3)";12,81;
1006114;"Tuszyn - miasto (4)";7,17;
1006115;"Tuszyn - obszar wiejski (5)";5,64;
1007000;"Powiat opoczyński";71,78;
1007012;"Białaczów (2)";5,50;
1007023;"Drzewica (3)";9,79;
1007024;"Drzewica - miasto (4)";3,53;
1007025;"Drzewica - obszar wiejski (5)";6,26;
1007032;"Mniszków (2)";4,72;
1007043;"Opoczno (3)";31,68;
1007044;"Opoczno - miasto (4)";18,91;
1007045;"Opoczno - obszar wiejski (5)";12,76;
1007052;"Paradyż (2)";4,18;
1007062;"Poświętne (2)";2,90;
1007072;"Sławno (2)";7,47;
1007082;"Żarnów (2)";5,54;
1008000;"Powiat pabianicki";119,07;
1008011;"Konstantynów Łódzki (1)";19,23;
1008021;"Pabianice (1)";60,60;
1008032;"Dłutów (2)";4,97;
1008042;"Dobroń (2)";8,12;
1008052;"Ksawerów (2)";7,67;
1008063;"Lutomiersk (3)";9,48;
1008064;"Lutomiersk - miasto (4)";1,57;
1008065;"Lutomiersk - obszar wiejski (5)";7,91;
1008072;"Pabianice (2)";9,00;
1009000;"Powiat pajęczański";48,58;
1009013;"Działoszyn (3)";11,48;
1009014;"Działoszyn - miasto (4)";5,24;
1009015;"Działoszyn - obszar wiejski (5)";6,24;
1009022;"Kiełczygłów (2)";3,77;
1009032;"Nowa Brzeźnica (2)";4,33;
1009043;"Pajęczno (3)";11,08;
1009044;"Pajęczno - miasto (4)";6,37;
1009045;"Pajęczno - obszar wiejski (5)";4,71;
1009052;"Rząśnia (2)";4,92;
1009062;"Siemkowice (2)";4,44;
1009072;"Strzelce Wielkie (2)";4,16;
1009082;"Sulmierzyce (2)";4,40;
1010000;"Powiat piotrkowski";90,12;
1010012;"Aleksandrów (2)";4,24;
1010022;"Czarnocin (2)";4,02;
1010032;"Gorzkowice (2)";8,21;
1010042;"Grabica (2)";6,06;
1010052;"Łęki Szlacheckie (2)";3,18;
1010062;"Moszczenica (2)";12,56;
1010072;"Ręczno (2)";3,33;
1010083;"Rozprza (3)";12,19;
1010084;"Rozprza - miasto (4)";1,62;
1010085;"Rozprza - obszar wiejski (5)";10,56;
1010093;"Sulejów (3)";16,58;
1010094;"Sulejów - miasto (4)";5,93;
1010095;"Sulejów - obszar wiejski (5)";10,65;
1010102;"Wola Krzysztoporska (2)";11,92;
1010113;"Wolbórz (3)";7,84;
1010114;"Wolbórz - miasto (4)";2,27;
1010115;"Wolbórz - obszar wiejski (5)";5,57;
1011000;"Powiat poddębicki";39,36;
1011012;"Dalików (2)";4,02;
1011022;"Pęczniew (2)";3,35;
1011033;"Poddębice (3)";14,52;
1011034;"Poddębice - miasto (4)";6,76;
1011035;"Poddębice - obszar wiejski (5)";7,77;
1011043;"Uniejów (3)";6,73;
1011044;"Uniejów - miasto (4)";2,98;
1011045;"Uniejów - obszar wiejski (5)";3,75;
1011052;"Wartkowice (2)";6,06;
1011062;"Zadzim (2)";4,67;
1012000;"Powiat radomszczański";106,67;
1012011;"Radomsko (1)";42,97;
1012022;"Dobryszyce (2)";4,60;
1012032;"Gidle (2)";5,74;
1012042;"Gomunice (2)";5,64;
1012053;"Kamieńsk (3)";5,54;
1012054;"Kamieńsk - miasto (4)";2,60;
1012055;"Kamieńsk - obszar wiejski (5)";2,94;
1012062;"Kobiele Wielkie (2)";4,24;
1012072;"Kodrąb (2)";4,27;
1012082;"Lgota Wielka (2)";4,15;
1012092;"Ładzice (2)";4,60;
1012102;"Masłowice (2)";3,88;
1012113;"Przedbórz (3)";6,57;
1012114;"Przedbórz - miasto (4)";3,18;
1012115;"Przedbórz - obszar wiejski (5)";3,39;
1012122;"Radomsko (2)";5,42;
1012132;"Wielgomłyny (2)";4,29;
1012142;"Żytno (2)";4,79;
1013000;"Powiat rawski";46,08;
1013011;"Rawa Mazowiecka (1)";15,94;
1013023;"Biała Rawska (3)";10,78;
1013024;"Biała Rawska - miasto (4)";3,00;
1013025;"Biała Rawska - obszar wiejski (5)";7,78;
1013032;"Cielądz (2)";3,92;
1013042;"Rawa Mazowiecka (2)";8,62;
1013052;"Regnów (2)";1,70;
1013062;"Sadkowice (2)";5,11;
1014000;"Powiat sieradzki";111,48;
1014011;"Sieradz (1)";38,73;
1014023;"Błaszki (3)";13,94;
1014024;"Błaszki - miasto (4)";1,99;
1014025;"Błaszki - obszar wiejski (5)";11,95;
1014032;"Brąszewice (2)";4,32;
1014042;"Brzeźnio (2)";6,16;
1014052;"Burzenin (2)";5,26;
1014062;"Goszczanów (2)";5,06;
1014072;"Klonowa (2)";2,74;
1014082;"Sieradz (2)";10,80;
1014093;"Warta (3)";11,80;
1014094;"Warta - miasto (4)";2,94;
1014095;"Warta - obszar wiejski (5)";8,86;
1014102;"Wróblew (2)";5,90;
1014113;"Złoczew (3)";6,78;
1014114;"Złoczew - miasto (4)";3,40;
1014115;"Złoczew - obszar wiejski (5)";3,38;
1015000;"Powiat skierniewicki";37,79;
1015013;"Bolimów (3)";3,89;
1015014;"Bolimów - miasto (4)";0,90;
1015015;"Bolimów - obszar wiejski (5)";2,99;
1015022;"Głuchów (2)";5,48;
1015032;"Godzianów (2)";2,54;
1015042;"Kowiesy (2)";2,77;
1015052;"Lipce Reymontowskie (2)";3,10;
1015062;"Maków (2)";5,98;
1015072;"Nowy Kawęczyn (2)";3,40;
1015082;"Skierniewice (2)";8,15;
1015092;"Słupia (2)";2,49;
1016000;"Powiat tomaszowski";110,63;
1016011;"Tomaszów Mazowiecki (1)";57,44;
1016022;"Będków (2)";3,14;
1016032;"Budziszewice (2)";2,08;
1016042;"Czerniewice (2)";4,81;
1016052;"Inowłódz (2)";3,65;
1016062;"Lubochnia (2)";7,16;
1016072;"Rokiciny (2)";6,12;
1016082;"Rzeczyca (2)";4,37;
1016092;"Tomaszów Mazowiecki (2)";11,41;
1016103;"Ujazd (3)";7,35;
1016104;"Ujazd - miasto (4)";1,53;
1016105;"Ujazd - obszar wiejski (5)";5,82;
1016112;"Żelechlinek (2)";3,11;
1017000;"Powiat wieluński";72,59;
1017012;"Biała (2)";5,30;
1017022;"Czarnożyły (2)";4,37;
1017032;"Konopnica (2)";3,53;
1017042;"Mokrsko (2)";5,05;
1017052;"Osjaków (2)";4,64;
1017062;"Ostrówek (2)";4,38;
1017072;"Pątnów (2)";6,19;
1017082;"Skomlin (2)";3,20;
1017093;"Wieluń (3)";29,53;
1017094;"Wieluń - miasto (4)";20,45;
1017095;"Wieluń - obszar wiejski (5)";9,08;
1017102;"Wierzchlas (2)";6,40;
1018000;"Powiat wieruszowski";41,45;
1018012;"Bolesławiec (2)";3,87;
1018022;"Czastary (2)";3,88;
1018032;"Galewice (2)";6,13;
1018043;"Lututów (3)";4,55;
1018044;"Lututów - miasto (4)";2,20;
1018045;"Lututów - obszar wiejski (5)";2,35;
1018052;"Łubnice (2)";3,85;
1018062;"Sokolniki (2)";5,10;
1018073;"Wieruszów (3)";14,08;
1018074;"Wieruszów - miasto (4)";8,33;
1018075;"Wieruszów - obszar wiejski (5)";5,75;
1019000;"Powiat zduńskowolski";63,33;
1019011;"Zduńska Wola (1)";38,40;
1019023;"Szadek (3)";7,06;
1019024;"Szadek - miasto (4)";1,76;
1019025;"Szadek - obszar wiejski (5)";5,29;
1019032;"Zapolice (2)";5,51;
1019042;"Zduńska Wola (2)";12,36;
1020000;"Powiat zgierski";166,34;
1020011;"Głowno (1)";13,12;
1020021;"Ozorków (1)";18,06;
1020031;"Zgierz (1)";53,54;
1020043;"Aleksandrów Łódzki (3)";35,11;
